Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.0.1.201-58.186.197.207-80-35682-6,58.186.197.207,35682,10.0.1.201,80,6,13/04/2025 02:10:59,340630,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.87147344626134,340630.0,0.0,340630.0,340630.0,340630.0,340630.0,0.0,340630.0,340630.0,0,0,0,0,0,0,0,0,0,44,0,5.87147344626134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0,0,0,0,0,2,0,0,0,512,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.0.1.201-58.186.197.207-80-63182-6,58.186.197.207,63182,10.0.1.201,80,6,13/04/2025 02:10:59,345359,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.791075373741527,345359.0,0.0,345359.0,345359.0,345359.0,345359.0,0.0,345359.0,345359.0,0,0,0,0,0,0,0,0,0,44,0,5.791075373741527,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0,0,0,0,0,2,0,0,0,512,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.0.1.201-58.186.197.207-80-58228-6,58.186.197.207,58228,10.0.1.201,80,6,13/04/2025 02:10:54,1265009,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.5810164196460261,1265009.0,0.0,1265009.0,1265009.0,1265009.0,1265009.0,0.0,1265009.0,1265009.0,0,0,0,0,0,0,0,0,0,44,0,1.5810164196460261,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0,0,0,0,0,2,0,0,0,512,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.0.1.201-58.186.197.207-80-60081-6,58.186.197.207,60081,10.0.1.201,80,6,13/04/2025 02:10:59,362045,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.524175171594691,362045.0,0.0,362045.0,362045.0,362045.0,362045.0,0.0,362045.0,362045.0,0,0,0,0,0,0,0,0,0,44,0,5.524175171594691,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0,0,0,0,0,2,0,0,0,512,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.0.1.201-58.186.197.207-80-38828-6,58.186.197.207,38828,10.0.1.201,80,6,13/04/2025 02:10:59,340535,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.873111427606561,340535.0,0.0,340535.0,340535.0,340535.0,340535.0,0.0,340535.0,340535.0,0,0,0,0,0,0,0,0,0,44,0,5.873111427606561,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0,0,0,0,0,2,0,0,0,512,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.0.1.201-58.186.197.207-80-64430-6,58.186.197.207,64430,10.0.1.201,80,6,13/04/2025 02:10:54,1363647,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.4666552267558979,1363647.0,0.0,1363647.0,1363647.0,1363647.0,1363647.0,0.0,1363647.0,1363647.0,0,0,0,0,0,0,0,0,0,44,0,1.4666552267558979,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0,0,0,0,0,2,0,0,0,512,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.0.1.201-58.186.197.207-80-12549-6,58.186.197.207,12549,10.0.1.201,80,6,13/04/2025 02:10:54,575165,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3.4772630462562915,575165.0,0.0,575165.0,575165.0,575165.0,575165.0,0.0,575165.0,575165.0,0,0,0,0,0,0,0,0,0,44,0,3.4772630462562915,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0,0,0,0,0,2,0,0,0,512,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.0.1.201-58.186.197.207-80-46469-6,58.186.197.207,46469,10.0.1.201,80,6,13/04/2025 02:10:54,509106,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3.9284549779417257,509106.0,0.0,509106.0,509106.0,509106.0,509106.0,0.0,509106.0,509106.0,0,0,0,0,0,0,0,0,0,44,0,3.9284549779417257,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0,0,0,0,0,2,0,0,0,512,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.0.1.201-58.186.197.207-80-24481-6,58.186.197.207,24481,10.0.1.201,80,6,13/04/2025 02:10:59,349065,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.729591909816223,349065.0,0.0,349065.0,349065.0,349065.0,349065.0,0.0,349065.0,349065.0,0,0,0,0,0,0,0,0,0,44,0,5.729591909816223,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0,0,0,0,0,2,0,0,0,512,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.0.1.201-58.186.197.207-80-18124-6,58.186.197.207,18124,10.0.1.201,80,6,13/04/2025 02:10:59,355378,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.6278103878124135,355378.0,0.0,355378.0,355378.0,355378.0,355378.0,0.0,355378.0,355378.0,0,0,0,0,0,0,0,0,0,44,0,5.6278103878124135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0,0,0,0,0,2,0,0,0,512,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.0.1.201-58.186.197.207-80-49984-6,58.186.197.207,49984,10.0.1.201,80,6,13/04/2025 02:10:59,348867,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.7328437484772135,348867.0,0.0,348867.0,348867.0,348867.0,348867.0,0.0,348867.0,348867.0,0,0,0,0,0,0,0,0,0,44,0,5.7328437484772135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0,0,0,0,0,2,0,0,0,512,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
